Data_key,Game_number,Engine_Depth,Game_date,Game_type,White_player,Black_player,White_rating,Black_rating,My_colour,My_rating,Winner,User_winner,number_of_moves,White_accuracy,White_opening_accuracy,White_middle_accuracy,White_end_accuracy,No_best_white,No_great_white,No_good_white,No_ok_white,No_inaccuracy_white,No_mistake_white,No_blunder_white,Improvement_white,Black_accuracy,Black_opening_accuracy,Black_middle_accuracy,Black_end_accuracy,No_best_black,No_great_black,No_good_black,No_ok_black,No_inaccuracy_black,No_mistake_black,No_blunder_black,Improvement_black,User_accuracy,User_opening_accuracy,User_middle_accuracy,User_end_accuracy,No_best_user,No_great_user,No_good_user,No_ok_user,No_inaccuracy_user,No_mistake_user,No_blunder_user,Improvement_user
"82, 2020.11.19, 10",82,10,2020.11.19,600,Crown_23,Ainceer,1127,1163,Black,1163,White,0,43.5,72.49,77.23,62.58,78.03,21,4,1,4,5,1,8,1,74.48,67.28,70.28,86.37,21,7,0,3,3,1,8,0,74.48,67.28,70.28,86.37,21,7,0,3,3,1,8,0
"83, 2020.11.19, 10",83,10,2020.11.19,600,Ainceer,Crown_23,1163,1127,White,1163,Black,0,14,68.57,92.24,59.75,50,6,3,0,1,0,0,4,2,71.33,81.36,78.36,50,9,1,0,0,0,0,4,2,68.57,92.24,59.75,50,6,3,0,1,0,0,4,2
"84, 2020.11.19, 10",84,10,2020.11.19,600,gigilumina,Ainceer,1249,1195,Black,1195,White,0,15.5,81.84,92.57,97.59,53.23,5,5,2,2,0,0,2,2,78.24,89.2,62.88,82.64,4,4,0,3,3,0,1,1,78.24,89.2,62.88,82.64,4,4,0,3,3,0,2,1
"85, 2020.11.19, 10",85,10,2020.11.19,600,badassdolphinater,Ainceer,1022,1203,Black,1203,Black,1,16,59.51,87.51,51.91,33.51,3,3,2,1,2,1,4,2,89.51,92.38,81.68,93.9,7,4,3,1,0,0,1,1,89.51,92.38,81.68,93.9,7,4,3,1,0,0,4,1
"86, 2020.11.19, 10",86,10,2020.11.19,600,Ainceer,akj0598,1194,1189,White,1194,Black,0,26,64.91,93.48,48.21,51.57,8,4,2,3,1,1,7,1,89.81,82.19,99.72,87.22,14,4,3,3,1,1,0,0,64.91,93.48,48.21,51.57,8,4,2,3,1,1,7,1
"87, 2020.11.19, 10",87,10,2020.11.19,180+2,Loweyboi,Ainceer,986,941,Black,941,White,0,18.5,70.79,68.87,71.02,72.8,9,3,0,0,1,2,4,0,56.87,66.8,52.13,51.67,4,2,2,1,3,0,6,2,56.87,66.8,52.13,51.67,4,2,2,1,3,0,4,2
"88, 2020.11.19, 10",88,10,2020.11.19,180+2,Ainceer,IvanFranco7,887,929,White,887,Black,0,25,61.46,64.76,63.85,55.36,9,2,0,3,3,2,6,2,73.49,71.06,49.79,99.93,9,5,1,2,3,2,3,1,61.46,64.76,63.85,55.36,9,2,0,3,3,2,6,2
"89, 2020.11.19, 10",89,10,2020.11.19,180+2,colinholt,Ainceer,819,833,Black,833,White,0,6.5,99.85,99.64,100,100,5,2,0,0,0,0,0,0,61.74,100,50,35.22,3,0,0,1,0,0,2,2,61.74,100,50,35.22,3,0,0,1,0,0,0,2
"90, 2020.11.19, 10",90,10,2020.11.19,180+2,Ainceer,Nguyen_Thomas,790,817,White,790,Black,0,24.5,72.47,85.93,60.3,69.51,12,3,0,3,1,1,5,1,78.68,92.75,73.34,69.93,12,4,1,2,1,1,3,2,72.47,85.93,60.3,69.51,12,3,0,3,1,1,5,1
"91, 2020.11.19, 10",91,10,2020.11.19,180+2,Mr666Jiggles,Ainceer,777,752,Black,752,White,0,32.5,63.28,84.66,75.4,29.79,11,4,1,5,3,0,9,2,56.52,75.6,57.94,33.96,5,7,2,4,3,1,10,2,56.52,75.6,57.94,33.96,5,7,2,4,3,1,9,2
"92, 2020.11.20, 10",92,10,2020.11.20,600,Ainceer,pawnman333,1203,1214,White,1203,White,1,35.5,69.63,89.55,62.46,56.87,8,11,2,4,1,2,8,2,70.42,59.08,80.33,71.98,11,8,3,3,2,1,7,0,69.63,89.55,62.46,56.87,8,11,2,4,1,2,8,2
"93, 2020.11.20, 10",93,10,2020.11.20,600,saturne9,Ainceer,1222,1195,Black,1195,White,0,25.5,72.42,92.31,59.18,64.92,9,7,0,3,1,0,6,1,65.42,96.17,54.7,41.55,5,8,2,1,1,0,8,2,65.42,96.17,54.7,41.55,5,8,2,1,1,0,6,2
"94, 2020.11.20, 10",94,10,2020.11.20,600,Ainceer,jpack6,1188,1229,White,1188,Black,0,23,75.15,80.82,86.91,55.24,13,1,1,2,1,1,4,2,83.93,91.57,67.54,93.95,10,7,1,1,1,1,2,1,75.15,80.82,86.91,55.24,13,1,1,2,1,1,4,2
"95, 2020.11.20, 10",95,10,2020.11.20,600,Ainceer,Foxworth002,1179,1157,White,1179,Black,0,27,65.35,91.28,65.48,39.29,8,6,2,1,3,0,7,2,70.87,84.32,45.08,83.21,7,5,5,1,2,2,5,1,65.35,91.28,65.48,39.29,8,6,2,1,3,0,7,2
"96, 2020.11.20, 10",96,10,2020.11.20,600,supaluck,Ainceer,1137,1186,Black,1186,Black,1,13.5,68.15,83.77,85.74,26.64,5,3,1,0,1,1,3,2,75.4,95.49,59.32,66.37,4,4,1,1,0,1,2,1,75.4,95.49,59.32,66.37,4,4,1,1,0,1,3,1
"97, 2020.11.20, 10",97,10,2020.11.20,600,Ainceer,markonovisad,1178,1198,White,1178,Black,0,28,80.42,87.95,89.16,63.33,10,7,3,4,0,1,3,2,68,85.06,70.8,46.25,8,4,4,3,2,1,6,2,80.42,87.95,89.16,63.33,10,7,3,4,0,1,3,2
"98, 2020.11.20, 10",98,10,2020.11.20,600,steph9418,Ainceer,1140,1169,Black,1169,White,0,11.5,90.16,98.21,76.73,95.54,5,3,2,1,1,0,0,1,55.67,73.97,26.32,70.39,3,2,0,1,0,1,4,1,55.67,73.97,26.32,70.39,3,2,0,1,0,1,0,1
"99, 2020.11.20, 10",99,10,2020.11.20,600,samirthapa32,Ainceer,1198,1161,Black,1161,White,0,26.5,82.36,96.02,75,76.06,13,7,2,1,0,0,4,1,67.89,91.16,64.31,45.73,10,4,1,2,2,1,6,2,67.89,91.16,64.31,45.73,10,4,1,2,2,1,4,2
"100, 2020.11.20, 10",100,10,2020.11.20,600,Ainceer,sargent00,1153,1153,White,1153,Black,0,28,65.62,69.81,76.49,50.09,10,3,3,2,1,1,8,2,73.15,69.26,71.22,79.42,12,4,2,2,2,1,5,0,65.62,69.81,76.49,50.09,10,3,3,2,1,1,8,2
"101, 2020.11.20, 10",101,10,2020.11.20,600,Ainceer,juansiebenlist,1162,1169,White,1162,White,1,29.5,70.92,83.95,81.27,47.54,8,10,2,0,3,0,7,2,54.38,73.78,51.11,36.45,5,7,1,2,1,2,11,2,70.92,83.95,81.27,47.54,8,10,2,0,3,0,7,2
"102, 2020.11.20, 10",102,10,2020.11.20,180,sergiofilho80,Ainceer,766,787,Black,787,Black,1,12,61.98,89.34,59.5,37.1,1,5,0,1,2,0,3,2,56.96,78.41,50.6,41.88,3,2,2,0,0,1,4,2,56.96,78.41,50.6,41.88,3,2,2,0,0,1,3,2
"103, 2020.11.20, 10",103,10,2020.11.20,180,prussianprince23,Ainceer,772,755,Black,755,White,0,20.5,83.34,84.49,85.35,80.18,11,4,1,1,1,2,1,2,71.6,77.8,70.57,65.57,9,2,1,1,1,3,3,2,71.6,77.8,70.57,65.57,9,2,1,1,1,3,1,2
"104, 2020.11.20, 10",104,10,2020.11.20,180,Ainceer,jerryapaza123,727,757,White,727,Black,0,29,65.21,90.2,79.5,21.59,10,5,1,3,1,1,8,2,66.51,84.24,58.64,55.55,10,5,3,2,1,0,8,2,65.21,90.2,79.5,21.59,10,5,1,3,1,1,8,2
"105, 2020.11.20, 10",105,10,2020.11.20,600,Ainceer,BPSL14,1153,1143,White,1153,Black,0,26.5,64.2,89.11,72.06,31.43,8,6,3,0,1,1,8,2,63.25,71.93,47.66,71.03,9,2,2,2,3,1,7,1,64.2,89.11,72.06,31.43,8,6,3,0,1,1,8,2
"106, 2020.11.21, 10",106,10,2020.11.21,600,Ainceer,Cosmicpower20,1146,1207,White,1146,Black,0,34,72.67,90.77,61.92,63.67,16,6,2,0,1,2,7,1,73.34,73.98,63.6,82.38,10,10,3,1,3,1,6,1,72.67,90.77,61.92,63.67,16,6,2,0,1,2,7,1
"107, 2020.11.21, 10",107,10,2020.11.21,600,anjelinadcruzz,Ainceer,1115,1153,Black,1153,Black,1,22,51.63,80.62,55.28,14.86,1,5,2,4,1,1,8,2,61.95,86.48,46.3,49.59,7,4,1,0,2,1,7,1,61.95,86.48,46.3,49.59,7,4,1,0,2,1,8,1
"108, 2020.11.21, 10",108,10,2020.11.21,600,Ainceer,anjelinadcruzz,1152,1116,White,1152,Draw,0,40,70.77,72.73,61.5,77.92,20,2,4,3,1,0,10,1,73.44,55.39,83.97,82.36,18,5,3,2,5,0,7,0,70.77,72.73,61.5,77.92,20,2,4,3,1,0,10,1
"109, 2020.11.21, 10",109,10,2020.11.21,600,NonemoreBlack,Ainceer,1175,1144,Black,1144,White,0,16.5,71.16,91.32,60.31,60,7,3,0,3,0,0,4,2,43.25,52,57.66,18.35,2,2,2,0,2,0,8,2,43.25,52,57.66,18.35,2,2,2,0,2,0,4,2
"110, 2020.11.21, 10",110,10,2020.11.21,600,cubforbes,Ainceer,1148,1136,Black,1136,White,0,11.5,74.4,72.47,75.62,75.1,6,2,1,0,0,0,3,0,66.92,46.37,97.69,53.28,5,1,0,0,1,2,2,0,66.92,46.37,97.69,53.28,5,1,0,0,1,2,3,0
"111, 2020.11.21, 10",111,10,2020.11.21,600,Ainceer,cook64,1127,1117,White,1127,Black,0,55,68.7,75.97,57.13,72.59,19,11,2,3,5,4,11,1,74.2,68.19,66.64,88.12,20,14,0,5,5,1,10,1,68.7,75.97,57.13,72.59,19,11,2,3,5,4,11,1
"112, 2020.11.21, 10",112,10,2020.11.21,600,Ainceer,sambathkumarr,1136,1152,White,1136,White,1,27.5,71.55,75.64,69.67,68.89,10,7,2,0,2,0,7,2,71.75,73.51,77.33,64.42,8,4,5,3,1,1,5,2,71.55,75.64,69.67,68.89,10,7,2,0,2,0,7,2
"113, 2020.11.21, 10",113,10,2020.11.21,600,JoshLjung,Ainceer,1165,1129,Black,1129,White,0,20.5,51.88,54.07,29.64,71.93,6,4,0,1,0,0,10,1,44.69,56.95,41.22,34.43,3,4,0,1,1,2,9,2,44.69,56.95,41.22,34.43,3,4,0,1,1,2,10,2
"114, 2020.11.21, 10",114,10,2020.11.21,600,Somansh1,Ainceer,1104,1120,Black,1120,White,0,22.5,64.66,88.34,44.96,60.1,8,4,0,3,2,0,6,1,58.68,81.9,46.03,44.8,5,4,2,3,0,0,8,2,58.68,81.9,46.03,44.8,5,4,2,3,0,0,6,2
"115, 2020.11.21, 10",115,10,2020.11.21,600,Ainceer,Sarech,1127,1075,White,1127,White,1,33.5,67.98,71.12,55.91,76.61,12,6,1,2,3,3,7,1,51.08,68.26,45.9,39.07,9,4,2,2,0,1,15,2,67.98,71.12,55.91,76.61,12,6,1,2,3,3,7,1
"116, 2020.11.21, 10",116,10,2020.11.21,600,SilkyTawdry,Ainceer,1146,1136,Black,1136,Black,1,23,59.73,57.33,52.09,71.22,8,5,0,0,1,0,9,1,78.57,70.39,70.26,97.42,13,2,2,1,1,0,4,1,78.57,70.39,70.26,97.42,13,2,2,1,1,0,9,1
"117, 2020.11.21, 10",117,10,2020.11.21,600,Ainceer,Sparky15,1144,1080,White,1144,White,1,18.5,86.22,98.54,79.59,78.48,9,6,1,0,1,0,2,2,59.74,90.85,49.43,38.96,4,3,0,3,2,1,5,2,86.22,98.54,79.59,78.48,9,6,1,0,1,0,2,2
"118, 2020.11.21, 10",118,10,2020.11.21,600,patrickellan,Ainceer,1111,1151,Black,1151,Black,1,24,57.25,51.71,46.78,73.26,6,1,5,1,3,1,7,1,87.83,84.03,91.18,88.28,12,8,0,1,0,1,2,0,87.83,84.03,91.18,88.28,12,8,0,1,0,1,7,0
"119, 2020.11.22, 10",119,10,2020.11.22,600,Ainceer,splayschess,1142,1117,White,1142,Black,0,31,75.45,77.95,77.17,70.99,9,9,2,2,3,1,5,2,74.46,83.8,49.3,89.36,13,8,0,2,1,1,6,1,75.45,77.95,77.17,70.99,9,9,2,2,3,1,5,2
"120, 2020.11.22, 10",120,10,2020.11.22,600,Mohamed445599,Ainceer,1169,1134,Black,1134,White,0,17.5,76.04,80.22,64.57,83.33,9,3,1,0,1,1,3,1,62.72,66.67,50.4,72.78,9,1,0,1,0,0,6,1,62.72,66.67,50.4,72.78,9,1,0,1,0,0,3,1
"121, 2020.11.22, 10",121,10,2020.11.22,600,jus4yurluv,Ainceer,1128,1126,Black,1126,White,0,40.5,57.47,68.39,39.81,64.73,14,3,4,1,2,4,13,1,55.85,66.72,40.45,59.55,11,4,3,2,4,2,14,1,55.85,66.72,40.45,59.55,11,4,3,2,4,2,13,1
"122, 2020.11.22, 10",122,10,2020.11.22,180,legna244,Ainceer,767,704,Black,704,White,0,28.5,55.45,48.21,77.57,38.93,11,3,0,1,2,1,11,2,52.62,57.45,61.31,38.56,8,5,0,0,2,2,11,2,52.62,57.45,61.31,38.56,8,5,0,0,2,2,11,2
"123, 2020.11.22, 10",123,10,2020.11.22,180,Lalit976,Ainceer,573,724,Black,724,Black,1,12,58.73,84.01,58.19,34,3,1,0,3,0,1,4,2,73.54,85.78,84.35,50.5,2,2,4,1,1,1,1,2,73.54,85.78,84.35,50.5,2,2,4,1,1,1,4,2
"124, 2020.11.22, 10",124,10,2020.11.22,180,Ainceer,motomoto16,698,697,White,698,Black,0,14,74.25,94.54,93.52,24.78,5,3,2,1,0,0,3,2,49.4,61.36,36.97,50,2,2,2,1,0,2,5,1,74.25,94.54,93.52,24.78,5,3,2,1,0,0,3,2
"125, 2020.11.22, 10",125,10,2020.11.22,180,David_Kalisch,Ainceer,649,717,Black,717,Black,1,65,73.82,71.55,61.12,89.51,24,15,4,3,5,2,12,1,67.84,72.56,60.5,70.61,24,10,3,6,2,4,16,1,67.84,72.56,60.5,70.61,24,10,3,6,2,4,12,1
"126, 2020.11.22, 10",126,10,2020.11.22,600,urssbauto,Ainceer,984,1135,Black,1135,Black,1,11,64.38,90.35,21.06,87.5,0,4,3,1,0,0,3,1,91.21,90.63,87.56,96.85,5,4,0,1,1,0,0,1,91.21,90.63,87.56,96.85,5,4,0,1,1,0,3,1
"127, 2020.11.22, 10",127,10,2020.11.22,600,Ainceer,germanymora8313,1143,1088,White,1143,White,1,25.5,72.53,93.22,57.68,65.98,10,6,0,3,1,1,5,1,54.72,90.77,30.08,38.8,5,5,3,1,1,0,10,1,72.53,93.22,57.68,65.98,10,6,0,3,1,1,5,1
"128, 2020.11.22, 10",128,10,2020.11.22,600,Ainceer,hygl17,1136,1181,White,1136,Black,0,6,70.18,100,96.64,13.9,3,1,0,0,0,1,1,2,75.76,51.76,75.52,100,4,0,0,0,1,0,1,0,70.18,100,96.64,13.9,3,1,0,0,0,1,1,2
"129, 2020.11.22, 10",129,10,2020.11.22,600,Ainceer,lvargasm,1146,1195,White,1146,White,1,40.5,78.99,81.06,77.21,78.68,20,8,1,3,1,1,7,1,72.03,58.12,83.94,75.11,17,4,4,4,2,0,9,0,78.99,81.06,77.21,78.68,20,8,1,3,1,1,7,1
"130, 2020.11.22, 10",130,10,2020.11.22,600,Ainceer,MeVict0r,1153,1052,White,1153,White,1,34.5,86.39,93.16,70.45,96.38,17,9,2,3,1,0,3,1,67.19,84.06,50.48,65.49,5,14,0,2,4,1,8,1,86.39,93.16,70.45,96.38,17,9,2,3,1,0,3,1
"131, 2020.11.22, 10",131,10,2020.11.22,600,Ainceer,Franzie74,1162,1095,White,1162,White,1,15.5,64.59,64.21,51,78.65,6,3,1,0,1,0,5,1,37.16,52.32,24.46,34.71,0,3,0,4,0,0,8,1,64.59,64.21,51,78.65,6,3,1,0,1,0,5,1
"132, 2020.11.22, 10",132,10,2020.11.22,600,droti66,Ainceer,1105,1153,Black,1153,White,0,17,81.16,74.87,72.52,99.08,6,5,2,1,0,1,2,1,70.42,79.71,64.29,66.62,6,2,3,0,3,0,3,1,70.42,79.71,64.29,66.62,6,2,3,0,3,0,2,1
"133, 2020.11.22, 10",133,10,2020.11.22,600,contomman,Ainceer,1231,1146,Black,1146,White,0,26.5,65.73,74.74,73.39,49.08,8,5,1,1,4,3,5,2,68.29,87.5,58.49,57.69,7,9,1,1,0,1,7,2,68.29,87.5,58.49,57.69,7,9,1,1,0,1,5,2
"134, 2020.11.22, 10",134,10,2020.11.22,600,ddevin25,Ainceer,1132,1155,Black,1155,Black,1,8,67.7,85.4,67.65,41.22,2,1,0,2,1,1,1,2,91.81,88.26,93.83,94.12,3,3,1,1,0,0,0,0,91.81,88.26,93.83,94.12,3,3,1,1,0,0,1,0
"135, 2020.11.22, 10",135,10,2020.11.22,600,Ainceer,Ma7teo,1162,1097,White,1162,White,1,18,87.13,91.29,96.07,74.03,8,5,1,2,0,1,1,2,69.18,88.19,56.61,62.74,5,3,2,3,1,0,4,1,87.13,91.29,96.07,74.03,8,5,1,2,0,1,1,2
"136, 2020.11.23, 10",136,10,2020.11.23,600,FS2222,Ainceer,1169,1154,Black,1154,White,0,19.5,46.52,51.59,67.02,16.69,7,1,0,1,1,0,10,2,32.73,57.3,20.11,16.69,4,0,1,1,0,1,12,2,32.73,57.3,20.11,16.69,4,0,1,1,0,1,10,2
"137, 2020.11.23, 10",137,10,2020.11.23,600,pbu007,Ainceer,1169,1163,Black,1163,Black,1,25,61.07,69.75,57.09,55.27,8,2,1,3,3,2,6,2,62.75,59.3,62.6,66.79,11,4,0,0,1,1,8,0,62.75,59.3,62.6,66.79,11,4,0,0,1,1,6,0
"138, 2020.11.23, 10",138,10,2020.11.23,600,Ainceer,antonlewz,1172,1182,White,1172,White,1,52.5,86.36,86.67,95.12,76.77,24,17,4,0,3,0,5,2,79.79,79.79,83.21,76.38,25,11,2,3,4,1,6,2,86.36,86.67,95.12,76.77,24,17,4,0,3,0,5,2
"139, 2020.11.23, 10",139,10,2020.11.23,600,Ainceer,JayanL,1179,1130,White,1179,White,1,23.5,52.61,70.44,36.85,50.54,8,1,3,1,0,0,11,1,63.4,80.83,62.96,43.99,9,3,1,1,2,0,7,2,52.61,70.44,36.85,50.54,8,1,3,1,0,0,11,1
"140, 2020.11.23, 10",140,10,2020.11.23,600,chavesrui,Ainceer,1194,1171,Black,1171,White,0,6,80.96,99.46,75.91,67.5,2,1,0,2,1,0,0,2,80.16,96.86,99.64,43.97,2,2,1,0,0,0,1,2,80.16,96.86,99.64,43.97,2,2,1,0,0,0,0,2
"141, 2020.11.23, 10",141,10,2020.11.23,600,Ainceer,Fish2285110,1178,1123,White,1178,White,1,25.5,72.13,77.77,52.56,87.82,14,1,2,2,1,0,6,1,61.24,70.99,60.6,50.91,8,4,3,0,1,1,8,2,72.13,77.77,52.56,87.82,14,1,2,2,1,0,6,1
"142, 2020.11.23, 10",142,10,2020.11.23,600,Fish2285110,Ainceer,1116,1185,Black,1185,Black,1,20,64.99,91.46,71.61,26.4,6,3,2,1,1,2,5,2,86.33,95.74,75.91,87.49,11,4,1,1,0,1,2,1,86.33,95.74,75.91,87.49,11,4,1,1,0,1,5,1
"143, 2020.11.23, 10",143,10,2020.11.23,600,Ainceer,Fish2285110,1191,1110,White,1191,White,1,51.5,73.59,77.83,54.32,88.37,21,11,2,1,6,2,9,1,62.95,59.78,60.84,68.24,14,11,2,3,5,1,15,0,73.59,77.83,54.32,88.37,21,11,2,1,6,2,9,1
"144, 2020.11.23, 10",144,10,2020.11.23,600,Ainceer,Amin2800,1199,1201,White,1199,White,1,31.5,66.33,71.24,66.62,60.6,12,7,1,1,1,0,10,2,58.96,62.06,49.01,65.5,10,4,2,0,2,3,10,1,66.33,71.24,66.62,60.6,12,7,1,1,1,0,10,2
"145, 2020.11.23, 10",145,10,2020.11.23,600,Ainceer,Ziva2019,1207,1170,White,1207,White,1,24.5,86.48,93.02,72.83,92.76,8,9,3,3,0,0,2,1,63.87,82.96,55.41,53.22,8,4,0,2,3,0,7,2,86.48,93.02,72.83,92.76,8,9,3,3,0,0,2,1
"146, 2020.11.23, 10",146,10,2020.11.23,600,geist110,Ainceer,1159,1214,Black,1214,Black,1,30,71.85,83.16,55.12,77.26,12,6,1,1,3,2,5,1,81.57,93.01,69.29,82.42,13,7,1,3,2,1,3,1,81.57,93.01,69.29,82.42,13,7,1,3,2,1,5,1
"147, 2020.11.23, 10",147,10,2020.11.23,600,ipoka,Ainceer,1184,1221,Black,1221,Black,1,29,60.28,85.38,56.62,36.45,10,4,1,1,3,0,10,2,64.87,82.29,38.56,74.75,10,6,0,3,1,1,8,1,64.87,82.29,38.56,74.75,10,6,0,3,1,1,10,1
"148, 2020.11.24, 10",148,10,2020.11.24,600,caluacos20,Ainceer,1203,1212,Black,1212,White,0,15.5,81.86,80.18,95.53,70.19,7,3,3,0,1,0,2,2,84.47,96.75,76.67,80,8,3,2,0,0,0,2,1,84.47,96.75,76.67,80,8,3,2,0,0,0,2,1
"149, 2020.11.24, 10",149,10,2020.11.24,600,Ainceer,1maxilus1,1221,1231,White,1221,White,1,16.5,83.3,88.69,76.58,84.88,5,6,0,5,0,0,1,1,71.24,89.53,49.1,71.45,5,4,1,1,1,1,3,1,83.3,88.69,76.58,84.88,5,6,0,5,0,0,1,1
"150, 2020.11.25, 10",150,10,2020.11.25,600,vsivaraman,Ainceer,1053,1229,Black,1229,Black,1,56,78.52,89.07,72.34,73.92,23,10,6,3,5,2,7,1,79.17,80.46,81.98,74.85,24,12,3,4,4,3,6,2,79.17,80.46,81.98,74.85,24,12,3,4,4,3,7,2
"151, 2020.11.25, 10",151,10,2020.11.25,600,Ainceer,Korzok,1219,1162,White,1219,Black,0,27,73.16,92.95,70.56,55.99,10,5,3,2,0,1,6,2,80.99,96.37,82.17,64.42,8,9,3,2,1,1,3,2,73.16,92.95,70.56,55.99,10,5,3,2,0,1,6,2
"152, 2020.11.25, 10",152,10,2020.11.25,600,Ioannis2011,Ainceer,1260,1220,Black,1220,Draw,0,53.5,70.21,80.21,43.96,86.46,19,12,4,3,1,3,12,1,76.34,69.08,78.28,81.97,26,11,1,1,2,2,10,0,76.34,69.08,78.28,81.97,26,11,1,1,2,2,12,0
"153, 2020.11.25, 10",153,10,2020.11.25,600,drivephangan,Ainceer,1219,1220,Black,1220,Draw,0,93,82.96,82.48,78.3,88.11,30,35,7,6,3,2,10,1,85.05,87.37,77.87,89.92,38,35,4,4,0,0,12,1,85.05,87.37,77.87,89.92,38,35,4,4,0,0,10,1
"154, 2020.11.25, 10",154,10,2020.11.25,600,Ainceer,mhmdsayed1122,1212,1239,White,1212,Black,0,36.5,70.39,69.84,69.66,71.72,11,10,0,5,2,2,7,1,73.97,70.58,66.31,85.01,13,8,2,4,2,1,6,1,70.39,69.84,69.66,71.72,11,10,0,5,2,2,7,1
"155, 2020.11.25, 10",155,10,2020.11.25,600,Ainceer,blackpawn5,1204,1241,White,1204,Black,0,11,79.1,91.47,97.42,38.17,2,4,3,0,0,1,1,2,86.2,84.9,80.02,96.18,2,4,3,1,1,0,0,1,79.1,91.47,97.42,38.17,2,4,3,0,0,1,1,2
"156, 2020.11.25, 10",156,10,2020.11.25,600,Ainceer,giovanni195901010,1196,1196,White,1196,Black,0,34,69.46,91.16,65.71,49.53,9,9,4,1,2,0,9,2,67.37,80.17,38.96,81.82,12,6,1,4,1,0,10,1,69.46,91.16,65.71,49.53,9,9,4,1,2,0,9,2
"157, 2020.11.26, 10",157,10,2020.11.26,600,Ainceer,LittoGJ,1187,1156,White,1187,Black,0,15,66.68,83.13,69.01,47.9,4,1,2,2,2,1,3,2,71.31,65.42,87.09,61.43,8,0,0,2,1,2,2,2,66.68,83.13,69.01,47.9,4,1,2,2,2,1,3,2
"158, 2020.11.26, 10",158,10,2020.11.26,600,Cancer8er0,Ainceer,1143,1194,Black,1194,Black,1,24,51.24,42.48,51.32,59.91,8,1,0,2,3,0,10,0,68.32,46.53,64.02,94.4,10,4,0,2,1,1,6,0,68.32,46.53,64.02,94.4,10,4,0,2,1,1,10,0
"159, 2020.11.26, 10",159,10,2020.11.26,600,Ainceer,ehlimanhhh,1186,1214,White,1186,Black,0,8,70.17,95.04,92.07,0,1,3,2,0,0,0,2,2,94.47,87.04,98.2,100,4,3,0,1,0,0,0,0,70.17,95.04,92.07,0,1,3,2,0,0,0,2,2
"160, 2020.11.26, 10",160,10,2020.11.26,600,capone138,Ainceer,1170,1194,Black,1194,Black,1,29,75.86,81.4,82.5,62.34,12,3,3,4,3,0,4,2,76.89,86.2,62.36,82.68,15,4,0,3,2,1,4,1,76.89,86.2,62.36,82.68,15,4,0,3,2,1,4,1
"161, 2020.11.26, 10",161,10,2020.11.26,600,89mike89,Ainceer,1197,1194,Black,1194,Draw,0,31,52.32,65.43,40.02,50.2,6,3,3,3,4,1,11,1,60.68,75.85,49.08,55.59,11,4,0,5,0,0,11,1,60.68,75.85,49.08,55.59,11,4,0,5,0,0,11,1
"162, 2020.11.26, 10",162,10,2020.11.26,600,Doctor2M,Ainceer,1203,1202,Black,1202,Black,1,58,80.05,69.51,79.29,91.92,23,16,2,4,3,4,6,0,78.34,77.59,87.08,70.38,24,12,4,7,2,1,8,2,78.34,77.59,87.08,70.38,24,12,4,7,2,1,6,2
"163, 2020.11.26, 10",163,10,2020.11.26,600,Ainceer,bryglow,1211,1219,White,1211,White,1,41.5,75.28,77.04,76.96,71.85,22,5,0,3,3,2,7,2,64.24,63.45,69.03,59.94,14,5,4,2,3,1,12,2,75.28,77.04,76.96,71.85,22,5,0,3,3,2,7,2
"164, 2020.11.26, 10",164,10,2020.11.26,600,Asian_Swag,Ainceer,1164,1218,Black,1218,Black,1,16,83.31,96.78,90.46,60,7,4,2,1,0,0,2,2,88.75,91.38,96.57,77.77,8,2,2,3,1,0,0,2,88.75,91.38,96.57,77.77,8,2,2,3,1,0,2,2
"165, 2020.11.26, 10",165,10,2020.11.26,600,DutchRudder5,Ainceer,1194,1209,Black,1209,White,0,16,75.76,83.91,74.04,67.71,8,3,0,0,1,1,3,2,61.05,66.42,67.08,48.56,3,5,1,0,1,1,5,2,61.05,66.42,67.08,48.56,3,5,1,0,1,1,3,2
"166, 2020.11.26, 10",166,10,2020.11.26,600,onthemargin,Ainceer,1195,1200,Black,1200,White,0,21.5,73.97,86.35,46.97,86.82,7,7,0,0,3,1,4,1,67,83.4,62.65,54.93,9,3,1,0,1,1,6,2,67,83.4,62.65,54.93,9,3,1,0,1,1,4,2
"167, 2020.11.27, 10",167,10,2020.11.27,600,Ainceer,Hoangquan9195,1207,1169,White,1207,White,1,21.5,67.26,96.58,40.36,60.66,6,6,2,0,2,0,6,1,63.88,88.22,62.32,41.11,5,5,1,2,1,2,5,2,67.26,96.58,40.36,60.66,6,6,2,0,2,0,6,1
"168, 2020.11.27, 10",168,10,2020.11.27,600,Ainceer,edzavna,1200,1249,White,1200,Black,0,30,63.44,84.06,49.96,56.31,8,6,3,2,2,0,9,1,79.66,75.24,70.61,93.13,15,5,0,4,1,2,3,1,63.44,84.06,49.96,56.31,8,6,3,2,2,0,9,1
"169, 2020.11.27, 10",169,10,2020.11.27,600,DirkBonaobra,Ainceer,1182,1191,Black,1191,White,0,21.5,66.48,89.54,44.1,62.5,6,6,1,1,1,1,6,1,63.96,96.02,48.59,47.27,8,3,2,0,1,0,7,2,63.96,96.02,48.59,47.27,8,3,2,0,1,0,6,2
