[INFO extract] | 2000-01-01 00:00:00
[INFO extract] | 2020-11-01 00:00:00
[INFO extract] | 2020-12-01 00:00:00
[INFO extract] | 2021-01-01 00:00:00
[INFO extract] | 2021-02-01 00:00:00
[INFO extract] | 2021-03-01 00:00:00
[INFO extract] | 2021-04-01 00:00:00
[INFO extract] | 2021-05-01 00:00:00
[INFO extract] | 2021-06-01 00:00:00
[INFO extract] | 2021-07-01 00:00:00
[INFO extract] | 2021-08-01 00:00:00
[INFO extract] | 2021-09-01 00:00:00
[INFO extract] | 2021-10-01 00:00:00
[INFO extract] | 2021-11-01 00:00:00
[INFO extract] | 2021-12-01 00:00:00
[INFO extract] | 2022-01-01 00:00:00
[INFO extract] | 2022-02-01 00:00:00
[INFO extract] | 2022-03-01 00:00:00
[INFO extract] | 2022-04-01 00:00:00
[INFO extract] | 2022-05-01 00:00:00
[INFO user_analysis] | 2020-12-09 18:05:39 |314
[INFO user_analysis] | 2020-12-09 22:25:10 |315
[INFO user_analysis] | 2020-12-09 22:31:04 |316
[INFO user_analysis] | 2020-12-09 22:39:54 |317
[INFO user_analysis] | 2020-12-09 22:51:30 |318
[INFO user_analysis] | 2020-12-09 23:09:17 |319
[INFO user_analysis] | 2020-12-10 15:08:29 |320
[INFO user_analysis] | 2020-12-10 15:14:27 |321
[INFO user_analysis] | 2020-12-10 15:18:16 |322
[INFO user_analysis] | 2020-12-10 15:23:01 |323
[INFO user_analysis] | 2020-12-10 15:31:35 |324
[INFO user_analysis] | 2020-12-10 17:43:36 |325
[INFO user_analysis] | 2020-12-10 17:48:21 |326
[INFO user_analysis] | 2020-12-10 17:49:01 |327
[INFO user_analysis] | 2020-12-10 17:53:31 |328
[INFO user_analysis] | 2020-12-10 17:58:36 |329
[INFO user_analysis] | 2020-12-10 18:05:18 |330
[INFO user_analysis] | 2020-12-10 18:09:16 |331
[INFO user_analysis] | 2020-12-10 18:10:24 |332
[INFO user_analysis] | 2020-12-10 18:11:16 |333
[INFO user_analysis] | 2020-12-10 20:06:05 |334
[INFO user_analysis] | 2020-12-10 20:12:38 |335
[INFO user_analysis] | 2020-12-10 20:14:27 |336
[INFO user_analysis] | 2020-12-10 20:17:36 |337
[INFO user_analysis] | 2020-12-10 20:23:09 |338
[INFO user_analysis] | 2020-12-10 20:28:04 |339
[INFO user_analysis] | 2020-12-11 17:53:53 |340
[INFO user_analysis] | 2020-12-11 17:56:01 |341
[INFO user_analysis] | 2020-12-11 18:00:35 |342
